Date,AirportName,PercentOfBaseline
2020-05-15,McCarran International,32.0
2020-05-15,Miami International,68.0
2020-05-15,Newark Liberty International,68.0
2020-05-15,San Francisco International,56.0
2020-05-15,Seattle-Tacoma International,63.0
2020-05-15,Washington Dulles International,49.0
2020-05-16,Boston Logan International,53.0
2020-05-16,Charlotte Douglas International,43.0
2020-05-16,Chicago OHare International,73.0
2020-05-16,Dallas/Fort Worth International,49.0
2020-05-16,Daniel K. Inouye International,73.0
2020-05-16,Denver International,34.0
2020-05-16,Detroit Metropolitan Wayne County,31.0
2020-05-16,Hartsfield-Jackson Atlanta International,51.0
2020-05-16,John F. Kennedy International,53.0
2020-05-16,LaGuardia,61.0
2020-05-16,Los Angeles International,60.0
2020-05-16,McCarran International,15.0
2020-05-16,Miami International,66.0
2020-05-16,Newark Liberty International,68.0
2020-05-16,San Francisco International,38.0
2020-05-16,Seattle-Tacoma International,40.0
2020-05-16,Washington Dulles International,40.0
2020-05-17,Boston Logan International,51.0
2020-05-17,Charlotte Douglas International,71.0
2020-05-17,Chicago OHare International,62.0
2020-05-17,Dallas/Fort Worth International,38.0
2020-05-17,Daniel K. Inouye International,77.0
2020-05-17,Denver International,21.0
2020-05-17,Detroit Metropolitan Wayne County,27.0
2020-05-17,Hartsfield-Jackson Atlanta International,45.0
2020-05-17,John F. Kennedy International,58.0
2020-05-17,LaGuardia,48.0
2020-05-17,Los Angeles International,54.0
2020-05-17,McCarran International,18.0
2020-05-17,Miami International,57.0
2020-05-17,Newark Liberty International,65.0
2020-05-17,San Francisco International,28.0
2020-05-17,Seattle-Tacoma International,52.0
2020-05-17,Washington Dulles International,32.0
2020-05-18,Boston Logan International,62.0
2020-05-18,Charlotte Douglas International,79.0
2020-05-18,Chicago OHare International,72.0
2020-05-18,Dallas/Fort Worth International,70.0
2020-05-18,Daniel K. Inouye International,86.0
2020-05-18,Denver International,45.0
2020-05-18,Detroit Metropolitan Wayne County,36.0
2020-05-18,Hartsfield-Jackson Atlanta International,50.0
2020-05-18,John F. Kennedy International,54.0
2020-05-18,LaGuardia,58.0
2020-05-18,Los Angeles International,60.0
2020-05-18,McCarran International,30.0
2020-05-18,Miami International,67.0
2020-05-18,Newark Liberty International,78.0
2020-05-18,San Francisco International,38.0
2020-05-18,Seattle-Tacoma International,67.0
2020-05-18,Washington Dulles International,54.0
2020-05-19,Boston Logan International,62.0
2020-05-19,Charlotte Douglas International,86.0
2020-05-19,Chicago OHare International,82.0
2020-05-19,Dallas/Fort Worth International,72.0
2020-05-19,Daniel K. Inouye International,94.0
2020-05-19,Denver International,48.0
2020-05-19,Detroit Metropolitan Wayne County,39.0
2020-05-19,Hartsfield-Jackson Atlanta International,61.0
2020-05-19,John F. Kennedy International,55.0
2020-05-19,LaGuardia,53.0
2020-05-19,Los Angeles International,67.0
2020-05-19,McCarran International,39.0
2020-05-19,Miami International,74.0
2020-05-19,Newark Liberty International,74.0
2020-05-19,San Francisco International,54.0
2020-05-19,Seattle-Tacoma International,66.0
2020-05-19,Washington Dulles International,48.0
2020-05-20,Boston Logan International,62.0
2020-05-20,Charlotte Douglas International,79.0
2020-05-20,Chicago OHare International,75.0
2020-05-20,Dallas/Fort Worth International,70.0
2020-05-20,Daniel K. Inouye International,83.0
2020-05-20,Denver International,57.0
2020-05-20,Detroit Metropolitan Wayne County,43.0
2020-05-20,Hartsfield-Jackson Atlanta International,62.0
2020-05-20,John F. Kennedy International,55.0
2020-05-20,LaGuardia,57.0
2020-05-20,Los Angeles International,62.0
2020-05-20,McCarran International,40.0
2020-05-20,Miami International,77.0
2020-05-20,Newark Liberty International,69.0
2020-05-20,San Francisco International,62.0
2020-05-20,Seattle-Tacoma International,74.0
2020-05-20,Washington Dulles International,56.0
2020-05-21,Boston Logan International,60.0
2020-05-21,Charlotte Douglas International,79.0
2020-05-21,Chicago OHare International,77.0
2020-05-21,Dallas/Fort Worth International,69.0
2020-05-21,Daniel K. Inouye International,88.0
2020-05-21,Denver International,50.0
2020-05-21,Detroit Metropolitan Wayne County,42.0
2020-05-21,Hartsfield-Jackson Atlanta International,61.0
2020-05-21,John F. Kennedy International,53.0
2020-05-21,LaGuardia,54.0
2020-05-21,Los Angeles International,66.0
2020-05-21,McCarran International,24.0
2020-05-21,Miami International,74.0
2020-05-21,Newark Liberty International,74.0
2020-05-21,San Francisco International,59.0
2020-05-21,Seattle-Tacoma International,68.0
2020-05-21,Washington Dulles International,47.0
2020-05-22,Boston Logan International,52.0
2020-05-22,Charlotte Douglas International,61.0
2020-05-22,Chicago OHare International,72.0
2020-05-22,Dallas/Fort Worth International,68.0
2020-05-22,Daniel K. Inouye International,83.0
2020-05-22,Denver International,54.0
2020-05-22,Detroit Metropolitan Wayne County,45.0
2020-05-22,Hartsfield-Jackson Atlanta International,58.0
2020-05-22,John F. Kennedy International,52.0
2020-05-22,LaGuardia,48.0
2020-05-22,Los Angeles International,67.0
2020-05-22,McCarran International,26.0
2020-05-22,Miami International,74.0
2020-05-22,Newark Liberty International,71.0
2020-05-22,San Francisco International,58.0
2020-05-22,Seattle-Tacoma International,63.0
2020-05-22,Washington Dulles International,42.0
2020-05-23,Boston Logan International,51.0
2020-05-23,Charlotte Douglas International,57.0
2020-05-23,Chicago OHare International,78.0
2020-05-23,Dallas/Fort Worth International,50.0
2020-05-23,Daniel K. Inouye International,77.0
2020-05-23,Denver International,25.0
2020-05-23,Detroit Metropolitan Wayne County,39.0
2020-05-23,Hartsfield-Jackson Atlanta International,56.0
2020-05-23,John F. Kennedy International,58.0
2020-05-23,LaGuardia,44.0
2020-05-23,Los Angeles International,59.0
2020-05-23,McCarran International,14.0
2020-05-23,Miami International,64.0
2020-05-23,Newark Liberty International,56.0
2020-05-23,San Francisco International,40.0
2020-05-23,Seattle-Tacoma International,42.0
2020-05-23,Washington Dulles International,33.0
2020-05-24,Boston Logan International,47.0
2020-05-24,Charlotte Douglas International,59.0
2020-05-24,Chicago OHare International,58.0
2020-05-24,Dallas/Fort Worth International,35.0
2020-05-24,Daniel K. Inouye International,91.0
2020-05-24,Denver International,13.0
2020-05-24,Detroit Metropolitan Wayne County,32.0
2020-05-24,Hartsfield-Jackson Atlanta International,52.0
2020-05-24,John F. Kennedy International,68.0
2020-05-24,LaGuardia,38.0
2020-05-24,Los Angeles International,52.0
2020-05-24,McCarran International,12.0
2020-05-24,Miami International,58.0
2020-05-24,Newark Liberty International,63.0
2020-05-24,San Francisco International,23.0
2020-05-24,Seattle-Tacoma International,53.0
2020-05-24,Washington Dulles International,44.0
2020-05-25,Boston Logan International,32.0
2020-05-25,Charlotte Douglas International,20.0
2020-05-25,Chicago OHare International,25.0
2020-05-25,Dallas/Fort Worth International,16.0
2020-05-25,Daniel K. Inouye International,41.0
2020-05-25,Denver International,16.0
2020-05-25,Detroit Metropolitan Wayne County,22.0
2020-05-25,Hartsfield-Jackson Atlanta International,26.0
2020-05-25,John F. Kennedy International,27.0
2020-05-25,LaGuardia,23.0
2020-05-25,Los Angeles International,32.0
2020-05-25,McCarran International,10.0
2020-05-25,Miami International,19.0
2020-05-25,Newark Liberty International,31.0
2020-05-25,San Francisco International,21.0
2020-05-25,Seattle-Tacoma International,25.0
2020-05-25,Washington Dulles International,19.0
2020-05-26,Boston Logan International,58.0
2020-05-26,Charlotte Douglas International,84.0
2020-05-26,Chicago OHare International,67.0
2020-05-26,Dallas/Fort Worth International,67.0
2020-05-26,Daniel K. Inouye International,74.0
2020-05-26,Denver International,46.0
2020-05-26,Detroit Metropolitan Wayne County,48.0
2020-05-26,Hartsfield-Jackson Atlanta International,51.0
2020-05-26,John F. Kennedy International,53.0
2020-05-26,LaGuardia,47.0
2020-05-26,Los Angeles International,51.0
2020-05-26,McCarran International,35.0
2020-05-26,Miami International,75.0
2020-05-26,Newark Liberty International,63.0
2020-05-26,San Francisco International,35.0
2020-05-26,Seattle-Tacoma International,61.0
2020-05-26,Washington Dulles International,57.0
2020-05-27,Boston Logan International,60.0
2020-05-27,Charlotte Douglas International,85.0
2020-05-27,Chicago OHare International,75.0
2020-05-27,Dallas/Fort Worth International,71.0
2020-05-27,Daniel K. Inouye International,92.0
2020-05-27,Denver International,55.0
2020-05-27,Detroit Metropolitan Wayne County,52.0
2020-05-27,Hartsfield-Jackson Atlanta International,61.0
2020-05-27,John F. Kennedy International,53.0
2020-05-27,LaGuardia,61.0
2020-05-27,Los Angeles International,66.0
2020-05-27,McCarran International,39.0
2020-05-27,Miami International,70.0
2020-05-27,Newark Liberty International,71.0
2020-05-27,San Francisco International,45.0
2020-05-27,Seattle-Tacoma International,73.0
2020-05-27,Washington Dulles International,59.0
2020-05-28,Boston Logan International,58.0
2020-05-28,Charlotte Douglas International,87.0
2020-05-28,Chicago OHare International,80.0
2020-05-28,Dallas/Fort Worth International,69.0
2020-05-28,Daniel K. Inouye International,96.0
2020-05-28,Denver International,59.0
2020-05-28,Detroit Metropolitan Wayne County,47.0
2020-05-28,Hartsfield-Jackson Atlanta International,61.0
2020-05-28,John F. Kennedy International,56.0
2020-05-28,LaGuardia,53.0
2020-05-28,Los Angeles International,69.0
2020-05-28,McCarran International,35.0
2020-05-28,Miami International,72.0
2020-05-28,Newark Liberty International,71.0
2020-05-28,San Francisco International,47.0
2020-05-28,Seattle-Tacoma International,72.0
2020-05-28,Washington Dulles International,55.0
2020-05-29,Boston Logan International,60.0
2020-05-29,Charlotte Douglas International,84.0
2020-05-29,Chicago OHare International,79.0
2020-05-29,Dallas/Fort Worth International,70.0
2020-05-29,Daniel K. Inouye International,83.0
2020-05-29,Denver International,59.0
2020-05-29,Detroit Metropolitan Wayne County,44.0
2020-05-29,Hartsfield-Jackson Atlanta International,59.0
2020-05-29,John F. Kennedy International,50.0
2020-05-29,LaGuardia,53.0
2020-05-29,Los Angeles International,70.0
2020-05-29,McCarran International,20.0
2020-05-29,Miami International,81.0
2020-05-29,Newark Liberty International,71.0
2020-05-29,San Francisco International,51.0
2020-05-29,Seattle-Tacoma International,62.0
2020-05-29,Washington Dulles International,60.0
2020-05-30,Boston Logan International,55.0
2020-05-30,Charlotte Douglas International,71.0
2020-05-30,Chicago OHare International,74.0
2020-05-30,Dallas/Fort Worth International,56.0
2020-05-30,Daniel K. Inouye International,86.0
2020-05-30,Denver International,35.0
2020-05-30,Detroit Metropolitan Wayne County,37.0
2020-05-30,Hartsfield-Jackson Atlanta International,59.0
2020-05-30,John F. Kennedy International,60.0
2020-05-30,LaGuardia,52.0
2020-05-30,Los Angeles International,60.0
2020-05-30,McCarran International,14.0
2020-05-30,Miami International,64.0
2020-05-30,Newark Liberty International,63.0
2020-05-30,San Francisco International,45.0
2020-05-30,Seattle-Tacoma International,50.0
2020-05-30,Washington Dulles International,47.0
2020-05-31,Boston Logan International,58.0
2020-05-31,Charlotte Douglas International,69.0
2020-05-31,Chicago OHare International,74.0
2020-05-31,Dallas/Fort Worth International,38.0
2020-05-31,Daniel K. Inouye International,85.0
2020-05-31,Denver International,21.0
2020-05-31,Detroit Metropolitan Wayne County,34.0
2020-05-31,Hartsfield-Jackson Atlanta International,49.0
2020-05-31,John F. Kennedy International,73.0
2020-05-31,LaGuardia,46.0
2020-05-31,Los Angeles International,55.0
2020-05-31,McCarran International,14.0
2020-05-31,Miami International,59.0
2020-05-31,Newark Liberty International,63.0
2020-05-31,San Francisco International,23.0
2020-05-31,Seattle-Tacoma International,64.0
2020-05-31,Washington Dulles International,32.0
2020-06-01,Boston Logan International,69.0
2020-06-01,Charlotte Douglas International,92.0
2020-06-01,Chicago OHare International,69.0
2020-06-01,Dallas/Fort Worth International,71.0
2020-06-01,Daniel K. Inouye International,81.0
2020-06-01,Denver International,44.0
2020-06-01,Detroit Metropolitan Wayne County,45.0
2020-06-01,Hartsfield-Jackson Atlanta International,55.0
2020-06-01,John F. Kennedy International,53.0
2020-06-01,LaGuardia,70.0
2020-06-01,Los Angeles International,61.0
2020-06-01,McCarran International,31.0
2020-06-01,Miami International,83.0
2020-06-01,Newark Liberty International,76.0
2020-06-01,San Francisco International,45.0
2020-06-01,Seattle-Tacoma International,61.0
2020-06-01,Washington Dulles International,58.0
2020-06-02,Boston Logan International,72.0
2020-06-02,Charlotte Douglas International,94.0
2020-06-02,Chicago OHare International,76.0
2020-06-02,Dallas/Fort Worth International,72.0
2020-06-02,Daniel K. Inouye International,89.0
2020-06-02,Denver International,55.0
2020-06-02,Detroit Metropolitan Wayne County,50.0
2020-06-02,Hartsfield-Jackson Atlanta International,61.0
2020-06-02,John F. Kennedy International,53.0
2020-06-02,LaGuardia,56.0
2020-06-02,Los Angeles International,67.0
2020-06-02,McCarran International,40.0
2020-06-02,Miami International,83.0
2020-06-02,Newark Liberty International,71.0
2020-06-02,San Francisco International,40.0
2020-06-02,Seattle-Tacoma International,70.0
2020-06-02,Washington Dulles International,54.0
2020-06-03,Boston Logan International,73.0
2020-06-03,Charlotte Douglas International,87.0
2020-06-03,Chicago OHare International,78.0
2020-06-03,Dallas/Fort Worth International,70.0
2020-06-03,Daniel K. Inouye International,86.0
2020-06-03,Denver International,58.0
2020-06-03,Detroit Metropolitan Wayne County,47.0
2020-06-03,Hartsfield-Jackson Atlanta International,57.0
2020-06-03,John F. Kennedy International,56.0
2020-06-03,LaGuardia,57.0
2020-06-03,Los Angeles International,63.0
2020-06-03,McCarran International,41.0
2020-06-03,Miami International,91.0
2020-06-03,Newark Liberty International,68.0
2020-06-03,San Francisco International,44.0
2020-06-03,Seattle-Tacoma International,71.0
2020-06-03,Washington Dulles International,55.0
2020-06-04,Boston Logan International,64.0
2020-06-04,Charlotte Douglas International,76.0
2020-06-04,Chicago OHare International,82.0
2020-06-04,Dallas/Fort Worth International,80.0
2020-06-04,Daniel K. Inouye International,99.0
2020-06-04,Denver International,48.0
2020-06-04,Detroit Metropolitan Wayne County,47.0
2020-06-04,Hartsfield-Jackson Atlanta International,62.0
2020-06-04,John F. Kennedy International,53.0
2020-06-04,LaGuardia,55.0
2020-06-04,Los Angeles International,68.0
2020-06-04,McCarran International,37.0
2020-06-04,Miami International,83.0
2020-06-04,Newark Liberty International,73.0
2020-06-04,San Francisco International,42.0
2020-06-04,Seattle-Tacoma International,70.0
2020-06-04,Washington Dulles International,51.0
2020-06-05,Boston Logan International,63.0
2020-06-05,Charlotte Douglas International,75.0
2020-06-05,Chicago OHare International,82.0
2020-06-05,Dallas/Fort Worth International,80.0
2020-06-05,Daniel K. Inouye International,75.0
2020-06-05,Denver International,49.0
2020-06-05,Detroit Metropolitan Wayne County,44.0
2020-06-05,Hartsfield-Jackson Atlanta International,58.0
2020-06-05,John F. Kennedy International,52.0
2020-06-05,LaGuardia,64.0
2020-06-05,Los Angeles International,66.0
2020-06-05,McCarran International,35.0
2020-06-05,Miami International,86.0
2020-06-05,Newark Liberty International,74.0
2020-06-05,San Francisco International,41.0
2020-06-05,Seattle-Tacoma International,80.0
2020-06-05,Washington Dulles International,63.0
2020-06-06,Boston Logan International,58.0
2020-06-06,Charlotte Douglas International,50.0
2020-06-06,Chicago OHare International,83.0
2020-06-06,Dallas/Fort Worth International,65.0
2020-06-06,Daniel K. Inouye International,93.0
2020-06-06,Denver International,35.0
2020-06-06,Detroit Metropolitan Wayne County,40.0
2020-06-06,Hartsfield-Jackson Atlanta International,59.0
2020-06-06,John F. Kennedy International,65.0
2020-06-06,LaGuardia,56.0
2020-06-06,Los Angeles International,64.0
2020-06-06,McCarran International,22.0
2020-06-06,Miami International,76.0
2020-06-06,Newark Liberty International,62.0
2020-06-06,San Francisco International,37.0
2020-06-06,Seattle-Tacoma International,56.0
2020-06-06,Washington Dulles International,50.0
2020-06-07,Boston Logan International,65.0
2020-06-07,Charlotte Douglas International,64.0
2020-06-07,Chicago OHare International,61.0
2020-06-07,Dallas/Fort Worth International,58.0
2020-06-07,Daniel K. Inouye International,89.0
2020-06-07,Denver International,27.0
2020-06-07,Detroit Metropolitan Wayne County,37.0
2020-06-07,Hartsfield-Jackson Atlanta International,41.0
2020-06-07,John F. Kennedy International,72.0
2020-06-07,LaGuardia,44.0
2020-06-07,Los Angeles International,53.0
2020-06-07,McCarran International,19.0
2020-06-07,Miami International,98.0
2020-06-07,Newark Liberty International,70.0
2020-06-07,San Francisco International,28.0
2020-06-07,Seattle-Tacoma International,70.0
2020-06-07,Washington Dulles International,43.0
2020-06-08,Boston Logan International,60.0
2020-06-08,Charlotte Douglas International,76.0
2020-06-08,Chicago OHare International,78.0
2020-06-08,Dallas/Fort Worth International,80.0
2020-06-08,Daniel K. Inouye International,96.0
2020-06-08,Denver International,45.0
2020-06-08,Detroit Metropolitan Wayne County,42.0
2020-06-08,Hartsfield-Jackson Atlanta International,54.0
2020-06-08,John F. Kennedy International,54.0
2020-06-08,LaGuardia,64.0
2020-06-08,Los Angeles International,69.0
2020-06-08,McCarran International,36.0
2020-06-08,Miami International,82.0
2020-06-08,Newark Liberty International,78.0
2020-06-08,San Francisco International,41.0
2020-06-08,Seattle-Tacoma International,68.0
2020-06-08,Washington Dulles International,59.0
2020-06-09,Boston Logan International,62.0
2020-06-09,Charlotte Douglas International,87.0
2020-06-09,Chicago OHare International,80.0
2020-06-09,Dallas/Fort Worth International,81.0
2020-06-09,Daniel K. Inouye International,88.0
2020-06-09,Denver International,50.0
2020-06-09,Detroit Metropolitan Wayne County,44.0
2020-06-09,Hartsfield-Jackson Atlanta International,57.0
2020-06-09,John F. Kennedy International,59.0
2020-06-09,LaGuardia,57.0
2020-06-09,Los Angeles International,66.0
2020-06-09,McCarran International,41.0
2020-06-09,Miami International,85.0
2020-06-09,Newark Liberty International,74.0
2020-06-09,San Francisco International,43.0
2020-06-09,Seattle-Tacoma International,57.0
2020-06-09,Washington Dulles International,58.0
2020-06-10,Boston Logan International,66.0
2020-06-10,Charlotte Douglas International,84.0
2020-06-10,Chicago OHare International,79.0
2020-06-10,Dallas/Fort Worth International,84.0
2020-06-10,Daniel K. Inouye International,83.0
2020-06-10,Denver International,53.0
2020-06-10,Detroit Metropolitan Wayne County,48.0
2020-06-10,Hartsfield-Jackson Atlanta International,56.0
2020-06-10,John F. Kennedy International,57.0
2020-06-10,LaGuardia,55.0
2020-06-10,Los Angeles International,66.0
2020-06-10,McCarran International,37.0
2020-06-10,Miami International,81.0
2020-06-10,Newark Liberty International,69.0
2020-06-10,San Francisco International,42.0
2020-06-10,Seattle-Tacoma International,62.0
2020-06-10,Washington Dulles International,53.0
2020-06-11,Boston Logan International,57.0
2020-06-11,Charlotte Douglas International,92.0
2020-06-11,Chicago OHare International,80.0
2020-06-11,Dallas/Fort Worth International,79.0
2020-06-11,Daniel K. Inouye International,71.0
2020-06-11,Denver International,53.0
2020-06-11,Detroit Metropolitan Wayne County,46.0
2020-06-11,Hartsfield-Jackson Atlanta International,60.0
2020-06-11,John F. Kennedy International,57.0
2020-06-11,LaGuardia,53.0
2020-06-11,Los Angeles International,66.0
2020-06-11,McCarran International,36.0
2020-06-11,Miami International,77.0
2020-06-11,Newark Liberty International,89.0
2020-06-11,San Francisco International,45.0
2020-06-11,Seattle-Tacoma International,71.0
2020-06-11,Washington Dulles International,53.0
2020-06-12,Boston Logan International,59.0
2020-06-12,Charlotte Douglas International,75.0
2020-06-12,Chicago OHare International,76.0
2020-06-12,Dallas/Fort Worth International,78.0
2020-06-12,Daniel K. Inouye International,88.0
2020-06-12,Denver International,58.0
2020-06-12,Detroit Metropolitan Wayne County,48.0
2020-06-12,Hartsfield-Jackson Atlanta International,64.0
2020-06-12,John F. Kennedy International,55.0
2020-06-12,LaGuardia,54.0
2020-06-12,Los Angeles International,65.0
2020-06-12,McCarran International,25.0
2020-06-12,Miami International,82.0
2020-06-12,Newark Liberty International,84.0
2020-06-12,San Francisco International,36.0
2020-06-12,Seattle-Tacoma International,69.0
2020-06-12,Washington Dulles International,51.0
2020-06-13,Boston Logan International,64.0
2020-06-13,Charlotte Douglas International,63.0
2020-06-13,Chicago OHare International,72.0
2020-06-13,Dallas/Fort Worth International,61.0
2020-06-13,Daniel K. Inouye International,73.0
2020-06-13,Denver International,42.0
2020-06-13,Detroit Metropolitan Wayne County,43.0
2020-06-13,Hartsfield-Jackson Atlanta International,57.0
2020-06-13,John F. Kennedy International,65.0
2020-06-13,LaGuardia,75.0
2020-06-13,Los Angeles International,60.0
2020-06-13,McCarran International,26.0
2020-06-13,Miami International,61.0
2020-06-13,Newark Liberty International,65.0
2020-06-13,San Francisco International,37.0
2020-06-13,Seattle-Tacoma International,59.0
2020-06-13,Washington Dulles International,40.0
2020-06-14,Boston Logan International,56.0
2020-06-14,Charlotte Douglas International,53.0
2020-06-14,Chicago OHare International,66.0
2020-06-14,Dallas/Fort Worth International,46.0
2020-06-14,Daniel K. Inouye International,93.0
2020-06-14,Denver International,30.0
2020-06-14,Detroit Metropolitan Wayne County,35.0
2020-06-14,Hartsfield-Jackson Atlanta International,48.0
2020-06-14,John F. Kennedy International,85.0
2020-06-14,LaGuardia,54.0
2020-06-14,Los Angeles International,54.0
2020-06-14,McCarran International,19.0
2020-06-14,Miami International,62.0
2020-06-14,Newark Liberty International,84.0
2020-06-14,San Francisco International,27.0
2020-06-14,Seattle-Tacoma International,59.0
2020-06-14,Washington Dulles International,40.0
2020-06-15,Boston Logan International,62.0
2020-06-15,Charlotte Douglas International,87.0
2020-06-15,Chicago OHare International,83.0
2020-06-15,Dallas/Fort Worth International,77.0
2020-06-15,Daniel K. Inouye International,82.0
2020-06-15,Denver International,48.0
2020-06-15,Detroit Metropolitan Wayne County,46.0
2020-06-15,Hartsfield-Jackson Atlanta International,57.0
2020-06-15,John F. Kennedy International,56.0
2020-06-15,LaGuardia,64.0
2020-06-15,Los Angeles International,69.0
2020-06-15,McCarran International,41.0
2020-06-15,Miami International,72.0
2020-06-15,Newark Liberty International,89.0
2020-06-15,San Francisco International,47.0
2020-06-15,Seattle-Tacoma International,64.0
2020-06-15,Washington Dulles International,55.0
2020-06-16,Boston Logan International,68.0
2020-06-16,Charlotte Douglas International,78.0
2020-06-16,Chicago OHare International,76.0
2020-06-16,Dallas/Fort Worth International,78.0
2020-06-16,Daniel K. Inouye International,100.0
2020-06-16,Denver International,53.0
2020-06-16,Detroit Metropolitan Wayne County,48.0
2020-06-16,Hartsfield-Jackson Atlanta International,62.0
2020-06-16,John F. Kennedy International,63.0
2020-06-16,LaGuardia,60.0
2020-06-16,Los Angeles International,69.0
2020-06-16,McCarran International,29.0
2020-06-16,Miami International,80.0
2020-06-16,Newark Liberty International,85.0
2020-06-16,San Francisco International,50.0
2020-06-16,Seattle-Tacoma International,70.0
2020-06-16,Washington Dulles International,53.0
2020-06-17,Boston Logan International,62.0
2020-06-17,Charlotte Douglas International,82.0
2020-06-17,Chicago OHare International,79.0
2020-06-17,Dallas/Fort Worth International,86.0
2020-06-17,Daniel K. Inouye International,84.0
2020-06-17,Denver International,62.0
2020-06-17,Detroit Metropolitan Wayne County,43.0
2020-06-17,Hartsfield-Jackson Atlanta International,60.0
2020-06-17,John F. Kennedy International,57.0
2020-06-17,LaGuardia,57.0
2020-06-17,Los Angeles International,67.0
2020-06-17,McCarran International,38.0
2020-06-17,Miami International,80.0
2020-06-17,Newark Liberty International,79.0
2020-06-17,San Francisco International,54.0
2020-06-17,Seattle-Tacoma International,78.0
2020-06-17,Washington Dulles International,54.0
2020-06-18,Boston Logan International,62.0
2020-06-18,Charlotte Douglas International,81.0
2020-06-18,Chicago OHare International,81.0
2020-06-18,Dallas/Fort Worth International,83.0
2020-06-18,Daniel K. Inouye International,90.0
2020-06-18,Denver International,56.0
2020-06-18,Detroit Metropolitan Wayne County,45.0
2020-06-18,Hartsfield-Jackson Atlanta International,62.0
2020-06-18,John F. Kennedy International,59.0
2020-06-18,LaGuardia,53.0
2020-06-18,Los Angeles International,71.0
2020-06-18,McCarran International,29.0
2020-06-18,Miami International,79.0
2020-06-18,Newark Liberty International,82.0
2020-06-18,San Francisco International,46.0
2020-06-18,Seattle-Tacoma International,72.0
2020-06-18,Washington Dulles International,59.0
2020-06-19,Boston Logan International,59.0
2020-06-19,Charlotte Douglas International,84.0
2020-06-19,Chicago OHare International,79.0
2020-06-19,Dallas/Fort Worth International,78.0
2020-06-19,Daniel K. Inouye International,92.0
2020-06-19,Denver International,63.0
2020-06-19,Detroit Metropolitan Wayne County,45.0
2020-06-19,Hartsfield-Jackson Atlanta International,60.0
2020-06-19,John F. Kennedy International,51.0
2020-06-19,LaGuardia,54.0
2020-06-19,Los Angeles International,60.0
2020-06-19,McCarran International,32.0
2020-06-19,Miami International,77.0
2020-06-19,Newark Liberty International,77.0
2020-06-19,San Francisco International,51.0
2020-06-19,Seattle-Tacoma International,68.0
2020-06-19,Washington Dulles International,56.0
2020-06-20,Boston Logan International,52.0
2020-06-20,Charlotte Douglas International,67.0
2020-06-20,Chicago OHare International,61.0
2020-06-20,Dallas/Fort Worth International,58.0
2020-06-20,Daniel K. Inouye International,89.0
2020-06-20,Denver International,41.0
2020-06-20,Detroit Metropolitan Wayne County,40.0
2020-06-20,Hartsfield-Jackson Atlanta International,54.0
2020-06-20,John F. Kennedy International,63.0
2020-06-20,LaGuardia,60.0
2020-06-20,Los Angeles International,53.0
2020-06-20,McCarran International,20.0
2020-06-20,Miami International,74.0
2020-06-20,Newark Liberty International,79.0
2020-06-20,San Francisco International,36.0
2020-06-20,Seattle-Tacoma International,56.0
2020-06-20,Washington Dulles International,41.0
2020-06-21,Boston Logan International,56.0
2020-06-21,Charlotte Douglas International,57.0
2020-06-21,Chicago OHare International,58.0
2020-06-21,Dallas/Fort Worth International,44.0
2020-06-21,Daniel K. Inouye International,95.0
2020-06-21,Denver International,28.0
2020-06-21,Detroit Metropolitan Wayne County,29.0
2020-06-21,Hartsfield-Jackson Atlanta International,48.0
2020-06-21,John F. Kennedy International,72.0
2020-06-21,LaGuardia,43.0
2020-06-21,Los Angeles International,46.0
2020-06-21,McCarran International,15.0
2020-06-21,Miami International,60.0
2020-06-21,Newark Liberty International,92.0
2020-06-21,San Francisco International,20.0
2020-06-21,Seattle-Tacoma International,62.0
2020-06-21,Washington Dulles International,28.0
2020-06-22,Boston Logan International,58.0
2020-06-22,Charlotte Douglas International,84.0
2020-06-22,Chicago OHare International,72.0
2020-06-22,Dallas/Fort Worth International,69.0
2020-06-22,Daniel K. Inouye International,88.0
2020-06-22,Denver International,50.0
2020-06-22,Detroit Metropolitan Wayne County,41.0
2020-06-22,Hartsfield-Jackson Atlanta International,57.0
2020-06-22,John F. Kennedy International,57.0
2020-06-22,LaGuardia,66.0
2020-06-22,Los Angeles International,63.0
2020-06-22,McCarran International,33.0
2020-06-22,Miami International,76.0
2020-06-22,Newark Liberty International,96.0
2020-06-22,San Francisco International,51.0
2020-06-22,Seattle-Tacoma International,67.0
2020-06-22,Washington Dulles International,63.0
2020-06-23,Boston Logan International,65.0
2020-06-23,Charlotte Douglas International,87.0
2020-06-23,Chicago OHare International,87.0
2020-06-23,Dallas/Fort Worth International,66.0
2020-06-23,Daniel K. Inouye International,95.0
2020-06-23,Denver International,56.0
2020-06-23,Detroit Metropolitan Wayne County,54.0
2020-06-23,Hartsfield-Jackson Atlanta International,62.0
2020-06-23,John F. Kennedy International,56.0
2020-06-23,LaGuardia,70.0
2020-06-23,Los Angeles International,67.0
2020-06-23,McCarran International,36.0
2020-06-23,Miami International,92.0
2020-06-23,Newark Liberty International,92.0
2020-06-23,San Francisco International,45.0
2020-06-23,Seattle-Tacoma International,76.0
2020-06-23,Washington Dulles International,61.0
2020-06-24,Boston Logan International,68.0
2020-06-24,Charlotte Douglas International,82.0
2020-06-24,Chicago OHare International,82.0
2020-06-24,Dallas/Fort Worth International,85.0
2020-06-24,Daniel K. Inouye International,85.0
2020-06-24,Denver International,65.0
