Date,AirportName,PercentOfBaseline
2020-03-23,Seattle-Tacoma International,64.0
2020-03-23,Washington Dulles International,65.0
2020-03-24,Boston Logan International,79.0
2020-03-24,Charlotte Douglas International,78.0
2020-03-24,Chicago OHare International,78.0
2020-03-24,Dallas/Fort Worth International,75.0
2020-03-24,Daniel K. Inouye International,97.0
2020-03-24,Denver International,68.0
2020-03-24,Detroit Metropolitan Wayne County,65.0
2020-03-24,Hartsfield-Jackson Atlanta International,84.0
2020-03-24,John F. Kennedy International,56.0
2020-03-24,LaGuardia,67.0
2020-03-24,Los Angeles International,71.0
2020-03-24,McCarran International,39.0
2020-03-24,Miami International,69.0
2020-03-24,Newark Liberty International,77.0
2020-03-24,San Francisco International,61.0
2020-03-24,Seattle-Tacoma International,64.0
2020-03-24,Washington Dulles International,57.0
2020-03-25,Boston Logan International,82.0
2020-03-25,Charlotte Douglas International,71.0
2020-03-25,Chicago OHare International,79.0
2020-03-25,Dallas/Fort Worth International,74.0
2020-03-25,Daniel K. Inouye International,98.0
2020-03-25,Denver International,67.0
2020-03-25,Detroit Metropolitan Wayne County,62.0
2020-03-25,Hartsfield-Jackson Atlanta International,74.0
2020-03-25,John F. Kennedy International,52.0
2020-03-25,LaGuardia,68.0
2020-03-25,Los Angeles International,72.0
2020-03-25,McCarran International,44.0
2020-03-25,Miami International,72.0
2020-03-25,Newark Liberty International,70.0
2020-03-25,San Francisco International,54.0
2020-03-25,Seattle-Tacoma International,69.0
2020-03-25,Washington Dulles International,59.0
2020-03-26,Boston Logan International,76.0
2020-03-26,Charlotte Douglas International,66.0
2020-03-26,Chicago OHare International,73.0
2020-03-26,Dallas/Fort Worth International,69.0
2020-03-26,Daniel K. Inouye International,94.0
2020-03-26,Denver International,65.0
2020-03-26,Detroit Metropolitan Wayne County,54.0
2020-03-26,Hartsfield-Jackson Atlanta International,74.0
2020-03-26,John F. Kennedy International,46.0
2020-03-26,LaGuardia,56.0
2020-03-26,Los Angeles International,76.0
2020-03-26,McCarran International,40.0
2020-03-26,Miami International,62.0
2020-03-26,Newark Liberty International,61.0
2020-03-26,San Francisco International,50.0
2020-03-26,Seattle-Tacoma International,70.0
2020-03-26,Washington Dulles International,53.0
2020-03-27,Boston Logan International,72.0
2020-03-27,Charlotte Douglas International,59.0
2020-03-27,Chicago OHare International,73.0
2020-03-27,Dallas/Fort Worth International,76.0
2020-03-27,Daniel K. Inouye International,99.0
2020-03-27,Denver International,66.0
