Name,ISO_Code,Total_Cases,Total_Population,Cases_per_100
Mali,MLI,1404536.0,20346106,6.9032177459411646
Malta,MLT,2520508.0,441750,570.5734012450481
Marshall Islands,MHL,532.0,59259,0.8977539276734336
Mauritania,MRT,2854683.0,4669775,61.131060918352595
Mauritius,MUS,154842.0,1272140,12.171773546936658
Mexico,MEX,302650903.0,129166028,234.31153507329344
Micronesia (country),FSM,61.0,548914,0.011112851922159026
Moldova,MDA,26235971.0,4032294,650.6462822403327
Monaco,MCO,200394.0,39290,510.0381776533469
Mongolia,MNG,292339.0,3287242,8.89313899007131
Montenegro,MNE,8474083.0,628080,1349.204400713285
Montserrat,MSR,,4993,
Morocco,MAR,70045072.0,36985624,189.38458899598396
Mozambique,MOZ,5265743.0,31398811,16.770517202068575
Myanmar,MMR,18008283.0,54473253,33.05894546081175
Namibia,NAM,4646958.0,2548663,182.3292447844223
Nepal,NPL,43198729.0,29225196,147.8133080784129
Netherlands,NLD,134542801.0,17141544,784.8931286469876
New Zealand,NZL,659755.0,4829021,13.662293040349171
Nicaragua,NIC,1460378.0,6638075,22.00002259691251
Niger,NER,694154.0,24346468,2.8511486758572127
Nigeria,NGA,22218331.0,206984347,10.734304947223858
North America,OWID_NAM,4494112038.0,368869647,1218.3469348997426
North Macedonia,MKD,13724386.0,2083359,658.7624120470836
Northern Cyprus,OWID_CYN,,326000,
Norway,NOR,9827851.0,5428594,181.0386077868413
Oman,OMN,30194684.0,5128058,588.8132310515989
Pakistan,PAK,111849431.0,221612785,50.47065808951411
Palestine,PSE,22674510.0,5186734,437.1635406789706
Panama,PAN,48719696.0,4326296,1126.1295112493458
Papua New Guinea,PNG,182041.0,8975531,2.0281919810649645
Paraguay,PRY,19903523.0,7147553,278.46625271613937
Peru,PER,242685282.0,33050211,734.2926857562271
Philippines,PHL,97937108.0,109830324,89.17128205867807
Poland,POL,199694581.0,37839255,527.7444838699917
Portugal,PRT,85281366.0,10191409,836.7966195842008
Qatar,QAT,39214138.0,2889284,1357.2268423595604
Romania,ROU,103201382.0,19214608,537.0985554324085
Russia,RUS,610187679.0,145945524,418.0927665859763
Rwanda,RWA,2109922.0,13005303,16.223551269816628
Saint Helena,SHN,,6080,
Saint Lucia,LCA,194717.0,183774,105.95459640645575
Samoa,WSM,277.0,198643,0.1394461420739719
San Marino,SMR,514376.0,33944,1515.3664859769033
Saudi Arabia,SAU,94979925.0,34905942,272.1024546479794
Senegal,SEN,5174699.0,16816539,30.77148633259198
Serbia,SRB,50400642.0,8731081,577.2554624106683
Seychelles,SYC,176450.0,98453,179.22257320752033
Sierra Leone,SLE,733288.0,8004158,9.161338394369526
Singapore,SGP,17325628.0,5858322,295.743866588419
Slovakia,SVK,30163394.0,5460109,552.4320851470181
Slovenia,SVN,19552637.0,2078989,940.4877563084749
Solomon Islands,SLB,2490.0,689671,0.36104171409266156
Somalia,SOM,1310696.0,15965848,8.209372906468857
South Africa,ZAF,238325963.0,59436725,400.9742511889745
South Korea,KOR,12688184.0,51276977,24.744407221978005
South Sudan,SSD,1036940.0,11216250,9.24497938259222
Spain,ESP,413234254.0,46757980,883.77268222451
Sri Lanka,LKA,7793027.0,21428970,36.366782911171185
Sudan,SDN,5361435.0,44019263,12.179747307445833
Suriname,SUR,1430511.0,587541,243.47424264859816
Sweden,SWE,78600451.0,10110233,777.4346150083782
Switzerland,CHE,71978591.0,8665615,830.6229967521059
Syria,SYR,2017360.0,17571053,11.481155967146647
Taiwan,TWN,219478.0,23824369,0.921233212934202
Tajikistan,TJK,3083298.0,9573310,32.20723031010173
Tanzania,TZA,170469.0,60012400,0.28405629503235996
Thailand,THA,2623995.0,69830779,3.75764818547993
Togo,TGO,855452.0,8310934,10.29309100517463
Trinidad and Tobago,TTO,1309150.0,1400283,93.49181558299287
Tunisia,TUN,24623902.0,11839918,207.97358562787343
Turkey,TUR,319482027.0,84495243,378.10652488448375
Uganda,UGA,5162054.0,45974931,11.227975524313456
Ukraine,UKR,173440767.0,43686577,397.01157405854894
United Arab Emirates,ARE,49101848.0,9910892,495.4331860341128
United Kingdom,GBR,482696372.0,67948282,710.3878976660513
United States,USA,3877666022.0,331341050,1170.2944811697796
Uruguay,URY,4631721.0,3475842,133.2546473631425
Uzbekistan,UZB,16093631.0,33551824,47.966486114137936
Vanuatu,VUT,163.0,308337,0.05286423620908292
Venezuela,VEN,22932077.0,28421581,80.6854375905408
Vietnam,VNM,384921.0,97490013,0.3948312120955405
Yemen,YEM,569242.0,29935468,1.9015637236738707
Zambia,ZMB,7308239.0,18468257,39.57189354685718
Zimbabwe,ZWE,3908763.0,14899771,26.23371191409586
